field_id,rap_variable_name
p48_i1,Waist circumference | Instance 1
p48_i2,Waist circumference | Instance 2
p48_i3,Waist circumference | Instance 3
p49_i0,Hip circumference | Instance 0
p49_i1,Hip circumference | Instance 1
p49_i2,Hip circumference | Instance 2
p49_i3,Hip circumference | Instance 3
p50_i0,Standing height | Instance 0
p50_i1,Standing height | Instance 1
p50_i2,Standing height | Instance 2
p50_i3,Standing height | Instance 3
p51_i0,Seated height | Instance 0
p51_i1,Seated height | Instance 1
p51_i2,Seated height | Instance 2
p51_i3,Seated height | Instance 3
p52,Month of birth
p53_i0,Date of attending assessment centre | Instance 0
p53_i1,Date of attending assessment centre | Instance 1
p53_i2,Date of attending assessment centre | Instance 2
p53_i3,Date of attending assessment centre | Instance 3
p54_i0,UK Biobank assessment centre | Instance 0
p54_i1,UK Biobank assessment centre | Instance 1
p54_i2,UK Biobank assessment centre | Instance 2
p54_i3,UK Biobank assessment centre | Instance 3
p55_i0,Month of attending assessment centre | Instance 0
p55_i1,Month of attending assessment centre | Instance 1
p55_i2,Month of attending assessment centre | Instance 2
p55_i3,Month of attending assessment centre | Instance 3
p62_i0,Willing to attempt cognitive tests | Instance 0
p62_i1,Willing to attempt cognitive tests | Instance 1
p62_i2,Willing to attempt cognitive tests | Instance 2
p68_i0,Number of blood samples taken | Instance 0
p68_i1,Number of blood samples taken | Instance 1
p68_i2,Number of blood samples taken | Instance 2
p68_i3,Number of blood samples taken | Instance 3
p74_i0,Fasting time | Instance 0
p74_i1,Fasting time | Instance 1
p74_i2,Fasting time | Instance 2
p74_i3,Fasting time | Instance 3
p77_i0,"Heel bone ultrasound T-score, manual entry | Instance 0"
p78_i0,"Heel bone mineral density (BMD) T-score, automated | Instance 0"
p84_i0_a0,Cancer year/age first occurred | Instance 0 | Array 0
p84_i0_a1,Cancer year/age first occurred | Instance 0 | Array 1
p84_i0_a2,Cancer year/age first occurred | Instance 0 | Array 2
p84_i0_a3,Cancer year/age first occurred | Instance 0 | Array 3
p84_i0_a4,Cancer year/age first occurred | Instance 0 | Array 4
p84_i0_a5,Cancer year/age first occurred | Instance 0 | Array 5
p84_i1_a0,Cancer year/age first occurred | Instance 1 | Array 0
p84_i1_a1,Cancer year/age first occurred | Instance 1 | Array 1
p84_i1_a2,Cancer year/age first occurred | Instance 1 | Array 2
p84_i1_a3,Cancer year/age first occurred | Instance 1 | Array 3
p84_i1_a4,Cancer year/age first occurred | Instance 1 | Array 4
p84_i1_a5,Cancer year/age first occurred | Instance 1 | Array 5
p84_i2_a0,Cancer year/age first occurred | Instance 2 | Array 0
p84_i2_a1,Cancer year/age first occurred | Instance 2 | Array 1
p84_i2_a2,Cancer year/age first occurred | Instance 2 | Array 2
p84_i2_a3,Cancer year/age first occurred | Instance 2 | Array 3
p84_i2_a4,Cancer year/age first occurred | Instance 2 | Array 4
p84_i2_a5,Cancer year/age first occurred | Instance 2 | Array 5
p84_i3_a0,Cancer year/age first occurred | Instance 3 | Array 0
p84_i3_a1,Cancer year/age first occurred | Instance 3 | Array 1
p84_i3_a2,Cancer year/age first occurred | Instance 3 | Array 2
p84_i3_a3,Cancer year/age first occurred | Instance 3 | Array 3
p84_i3_a4,Cancer year/age first occurred | Instance 3 | Array 4
p84_i3_a5,Cancer year/age first occurred | Instance 3 | Array 5
p87_i0_a0,Non-cancer illness year/age first occurred | Instance 0 | Array 0
p87_i0_a1,Non-cancer illness year/age first occurred | Instance 0 | Array 1
p87_i0_a2,Non-cancer illness year/age first occurred | Instance 0 | Array 2
p87_i0_a3,Non-cancer illness year/age first occurred | Instance 0 | Array 3
p87_i0_a4,Non-cancer illness year/age first occurred | Instance 0 | Array 4
p87_i0_a5,Non-cancer illness year/age first occurred | Instance 0 | Array 5
p87_i0_a6,Non-cancer illness year/age first occurred | Instance 0 | Array 6
p87_i0_a7,Non-cancer illness year/age first occurred | Instance 0 | Array 7
p87_i0_a8,Non-cancer illness year/age first occurred | Instance 0 | Array 8
p87_i0_a9,Non-cancer illness year/age first occurred | Instance 0 | Array 9
p87_i0_a10,Non-cancer illness year/age first occurred | Instance 0 | Array 10
p87_i0_a11,Non-cancer illness year/age first occurred | Instance 0 | Array 11
p87_i0_a12,Non-cancer illness year/age first occurred | Instance 0 | Array 12
p87_i0_a13,Non-cancer illness year/age first occurred | Instance 0 | Array 13
p87_i0_a14,Non-cancer illness year/age first occurred | Instance 0 | Array 14
p87_i0_a15,Non-cancer illness year/age first occurred | Instance 0 | Array 15
p87_i0_a16,Non-cancer illness year/age first occurred | Instance 0 | Array 16
p87_i0_a17,Non-cancer illness year/age first occurred | Instance 0 | Array 17
p87_i0_a18,Non-cancer illness year/age first occurred | Instance 0 | Array 18
p87_i0_a19,Non-cancer illness year/age first occurred | Instance 0 | Array 19
p87_i0_a20,Non-cancer illness year/age first occurred | Instance 0 | Array 20
p87_i0_a21,Non-cancer illness year/age first occurred | Instance 0 | Array 21
p87_i0_a22,Non-cancer illness year/age first occurred | Instance 0 | Array 22
p87_i0_a23,Non-cancer illness year/age first occurred | Instance 0 | Array 23
p87_i0_a24,Non-cancer illness year/age first occurred | Instance 0 | Array 24
p87_i0_a25,Non-cancer illness year/age first occurred | Instance 0 | Array 25
p87_i0_a26,Non-cancer illness year/age first occurred | Instance 0 | Array 26
p87_i0_a27,Non-cancer illness year/age first occurred | Instance 0 | Array 27
p87_i0_a28,Non-cancer illness year/age first occurred | Instance 0 | Array 28
p87_i0_a29,Non-cancer illness year/age first occurred | Instance 0 | Array 29
p87_i0_a30,Non-cancer illness year/age first occurred | Instance 0 | Array 30
p87_i0_a31,Non-cancer illness year/age first occurred | Instance 0 | Array 31
p87_i0_a32,Non-cancer illness year/age first occurred | Instance 0 | Array 32
p87_i0_a33,Non-cancer illness year/age first occurred | Instance 0 | Array 33
p87_i1_a0,Non-cancer illness year/age first occurred | Instance 1 | Array 0
p87_i1_a1,Non-cancer illness year/age first occurred | Instance 1 | Array 1
p87_i1_a2,Non-cancer illness year/age first occurred | Instance 1 | Array 2
p87_i1_a3,Non-cancer illness year/age first occurred | Instance 1 | Array 3
p87_i1_a4,Non-cancer illness year/age first occurred | Instance 1 | Array 4
p87_i1_a5,Non-cancer illness year/age first occurred | Instance 1 | Array 5
p87_i1_a6,Non-cancer illness year/age first occurred | Instance 1 | Array 6
p87_i1_a7,Non-cancer illness year/age first occurred | Instance 1 | Array 7
p87_i1_a8,Non-cancer illness year/age first occurred | Instance 1 | Array 8
p87_i1_a9,Non-cancer illness year/age first occurred | Instance 1 | Array 9
p87_i1_a10,Non-cancer illness year/age first occurred | Instance 1 | Array 10
p87_i1_a11,Non-cancer illness year/age first occurred | Instance 1 | Array 11
p87_i1_a12,Non-cancer illness year/age first occurred | Instance 1 | Array 12
p87_i1_a13,Non-cancer illness year/age first occurred | Instance 1 | Array 13
p87_i1_a14,Non-cancer illness year/age first occurred | Instance 1 | Array 14
p87_i1_a15,Non-cancer illness year/age first occurred | Instance 1 | Array 15
p87_i1_a16,Non-cancer illness year/age first occurred | Instance 1 | Array 16
p87_i1_a17,Non-cancer illness year/age first occurred | Instance 1 | Array 17
p87_i1_a18,Non-cancer illness year/age first occurred | Instance 1 | Array 18
p87_i1_a19,Non-cancer illness year/age first occurred | Instance 1 | Array 19
p87_i1_a20,Non-cancer illness year/age first occurred | Instance 1 | Array 20
p87_i1_a21,Non-cancer illness year/age first occurred | Instance 1 | Array 21
p87_i1_a22,Non-cancer illness year/age first occurred | Instance 1 | Array 22
p87_i1_a23,Non-cancer illness year/age first occurred | Instance 1 | Array 23
p87_i1_a24,Non-cancer illness year/age first occurred | Instance 1 | Array 24
p87_i1_a25,Non-cancer illness year/age first occurred | Instance 1 | Array 25
p87_i1_a26,Non-cancer illness year/age first occurred | Instance 1 | Array 26
p87_i1_a27,Non-cancer illness year/age first occurred | Instance 1 | Array 27
p87_i1_a28,Non-cancer illness year/age first occurred | Instance 1 | Array 28
p87_i1_a29,Non-cancer illness year/age first occurred | Instance 1 | Array 29
p87_i1_a30,Non-cancer illness year/age first occurred | Instance 1 | Array 30
p87_i1_a31,Non-cancer illness year/age first occurred | Instance 1 | Array 31
p87_i1_a32,Non-cancer illness year/age first occurred | Instance 1 | Array 32
p87_i1_a33,Non-cancer illness year/age first occurred | Instance 1 | Array 33
p87_i2_a0,Non-cancer illness year/age first occurred | Instance 2 | Array 0
p87_i2_a1,Non-cancer illness year/age first occurred | Instance 2 | Array 1
p87_i2_a2,Non-cancer illness year/age first occurred | Instance 2 | Array 2
p87_i2_a3,Non-cancer illness year/age first occurred | Instance 2 | Array 3
p87_i2_a4,Non-cancer illness year/age first occurred | Instance 2 | Array 4
p87_i2_a5,Non-cancer illness year/age first occurred | Instance 2 | Array 5
p87_i2_a6,Non-cancer illness year/age first occurred | Instance 2 | Array 6
p87_i2_a7,Non-cancer illness year/age first occurred | Instance 2 | Array 7
p87_i2_a8,Non-cancer illness year/age first occurred | Instance 2 | Array 8
p87_i2_a9,Non-cancer illness year/age first occurred | Instance 2 | Array 9
p87_i2_a10,Non-cancer illness year/age first occurred | Instance 2 | Array 10
p87_i2_a11,Non-cancer illness year/age first occurred | Instance 2 | Array 11
p87_i2_a12,Non-cancer illness year/age first occurred | Instance 2 | Array 12
p87_i2_a13,Non-cancer illness year/age first occurred | Instance 2 | Array 13
p87_i2_a14,Non-cancer illness year/age first occurred | Instance 2 | Array 14
p87_i2_a15,Non-cancer illness year/age first occurred | Instance 2 | Array 15
p87_i2_a16,Non-cancer illness year/age first occurred | Instance 2 | Array 16
p87_i2_a17,Non-cancer illness year/age first occurred | Instance 2 | Array 17
p87_i2_a18,Non-cancer illness year/age first occurred | Instance 2 | Array 18
p87_i2_a19,Non-cancer illness year/age first occurred | Instance 2 | Array 19
p87_i2_a20,Non-cancer illness year/age first occurred | Instance 2 | Array 20
p87_i2_a21,Non-cancer illness year/age first occurred | Instance 2 | Array 21
p87_i2_a22,Non-cancer illness year/age first occurred | Instance 2 | Array 22
p87_i2_a23,Non-cancer illness year/age first occurred | Instance 2 | Array 23
p87_i2_a24,Non-cancer illness year/age first occurred | Instance 2 | Array 24
p87_i2_a25,Non-cancer illness year/age first occurred | Instance 2 | Array 25
p87_i2_a26,Non-cancer illness year/age first occurred | Instance 2 | Array 26
p87_i2_a27,Non-cancer illness year/age first occurred | Instance 2 | Array 27
p87_i2_a28,Non-cancer illness year/age first occurred | Instance 2 | Array 28
p87_i2_a29,Non-cancer illness year/age first occurred | Instance 2 | Array 29
p87_i2_a30,Non-cancer illness year/age first occurred | Instance 2 | Array 30
p87_i2_a31,Non-cancer illness year/age first occurred | Instance 2 | Array 31
p87_i2_a32,Non-cancer illness year/age first occurred | Instance 2 | Array 32
p87_i2_a33,Non-cancer illness year/age first occurred | Instance 2 | Array 33
p87_i3_a0,Non-cancer illness year/age first occurred | Instance 3 | Array 0
p87_i3_a1,Non-cancer illness year/age first occurred | Instance 3 | Array 1
p87_i3_a2,Non-cancer illness year/age first occurred | Instance 3 | Array 2
p87_i3_a3,Non-cancer illness year/age first occurred | Instance 3 | Array 3
p87_i3_a4,Non-cancer illness year/age first occurred | Instance 3 | Array 4
p87_i3_a5,Non-cancer illness year/age first occurred | Instance 3 | Array 5
p87_i3_a6,Non-cancer illness year/age first occurred | Instance 3 | Array 6
p87_i3_a7,Non-cancer illness year/age first occurred | Instance 3 | Array 7
p87_i3_a8,Non-cancer illness year/age first occurred | Instance 3 | Array 8
p87_i3_a9,Non-cancer illness year/age first occurred | Instance 3 | Array 9
p87_i3_a10,Non-cancer illness year/age first occurred | Instance 3 | Array 10
p87_i3_a11,Non-cancer illness year/age first occurred | Instance 3 | Array 11
p87_i3_a12,Non-cancer illness year/age first occurred | Instance 3 | Array 12
p87_i3_a13,Non-cancer illness year/age first occurred | Instance 3 | Array 13
p87_i3_a14,Non-cancer illness year/age first occurred | Instance 3 | Array 14
p87_i3_a15,Non-cancer illness year/age first occurred | Instance 3 | Array 15
p87_i3_a16,Non-cancer illness year/age first occurred | Instance 3 | Array 16
p87_i3_a17,Non-cancer illness year/age first occurred | Instance 3 | Array 17
p87_i3_a18,Non-cancer illness year/age first occurred | Instance 3 | Array 18
p87_i3_a19,Non-cancer illness year/age first occurred | Instance 3 | Array 19
p87_i3_a20,Non-cancer illness year/age first occurred | Instance 3 | Array 20
p87_i3_a21,Non-cancer illness year/age first occurred | Instance 3 | Array 21
p87_i3_a22,Non-cancer illness year/age first occurred | Instance 3 | Array 22
p87_i3_a23,Non-cancer illness year/age first occurred | Instance 3 | Array 23
p87_i3_a24,Non-cancer illness year/age first occurred | Instance 3 | Array 24
p87_i3_a25,Non-cancer illness year/age first occurred | Instance 3 | Array 25
p87_i3_a26,Non-cancer illness year/age first occurred | Instance 3 | Array 26
p87_i3_a27,Non-cancer illness year/age first occurred | Instance 3 | Array 27
p87_i3_a28,Non-cancer illness year/age first occurred | Instance 3 | Array 28
p87_i3_a29,Non-cancer illness year/age first occurred | Instance 3 | Array 29
p87_i3_a30,Non-cancer illness year/age first occurred | Instance 3 | Array 30
p87_i3_a31,Non-cancer illness year/age first occurred | Instance 3 | Array 31
p87_i3_a32,Non-cancer illness year/age first occurred | Instance 3 | Array 32
p87_i3_a33,Non-cancer illness year/age first occurred | Instance 3 | Array 33
p92_i0_a0,Operation year/age first occurred | Instance 0 | Array 0
p92_i0_a1,Operation year/age first occurred | Instance 0 | Array 1
p92_i0_a2,Operation year/age first occurred | Instance 0 | Array 2
p92_i0_a3,Operation year/age first occurred | Instance 0 | Array 3
p92_i0_a4,Operation year/age first occurred | Instance 0 | Array 4
p92_i0_a5,Operation year/age first occurred | Instance 0 | Array 5
p92_i0_a6,Operation year/age first occurred | Instance 0 | Array 6
p92_i0_a7,Operation year/age first occurred | Instance 0 | Array 7
p92_i0_a8,Operation year/age first occurred | Instance 0 | Array 8
p92_i0_a9,Operation year/age first occurred | Instance 0 | Array 9
p92_i0_a10,Operation year/age first occurred | Instance 0 | Array 10
p92_i0_a11,Operation year/age first occurred | Instance 0 | Array 11
p92_i0_a12,Operation year/age first occurred | Instance 0 | Array 12
p92_i0_a13,Operation year/age first occurred | Instance 0 | Array 13
p92_i0_a14,Operation year/age first occurred | Instance 0 | Array 14
p92_i0_a15,Operation year/age first occurred | Instance 0 | Array 15
p92_i0_a16,Operation year/age first occurred | Instance 0 | Array 16
p92_i0_a17,Operation year/age first occurred | Instance 0 | Array 17
p92_i0_a18,Operation year/age first occurred | Instance 0 | Array 18
p92_i0_a19,Operation year/age first occurred | Instance 0 | Array 19
p92_i0_a20,Operation year/age first occurred | Instance 0 | Array 20
p92_i0_a21,Operation year/age first occurred | Instance 0 | Array 21
p92_i0_a22,Operation year/age first occurred | Instance 0 | Array 22
p92_i0_a23,Operation year/age first occurred | Instance 0 | Array 23
p92_i0_a24,Operation year/age first occurred | Instance 0 | Array 24
p92_i0_a25,Operation year/age first occurred | Instance 0 | Array 25
p92_i0_a26,Operation year/age first occurred | Instance 0 | Array 26
p92_i0_a27,Operation year/age first occurred | Instance 0 | Array 27
p92_i0_a28,Operation year/age first occurred | Instance 0 | Array 28
p92_i0_a29,Operation year/age first occurred | Instance 0 | Array 29
p92_i0_a30,Operation year/age first occurred | Instance 0 | Array 30
p92_i0_a31,Operation year/age first occurred | Instance 0 | Array 31
p92_i1_a0,Operation year/age first occurred | Instance 1 | Array 0
p92_i1_a1,Operation year/age first occurred | Instance 1 | Array 1
p92_i1_a2,Operation year/age first occurred | Instance 1 | Array 2
p92_i1_a3,Operation year/age first occurred | Instance 1 | Array 3
p92_i1_a4,Operation year/age first occurred | Instance 1 | Array 4
p92_i1_a5,Operation year/age first occurred | Instance 1 | Array 5
p92_i1_a6,Operation year/age first occurred | Instance 1 | Array 6
p92_i1_a7,Operation year/age first occurred | Instance 1 | Array 7
p92_i1_a8,Operation year/age first occurred | Instance 1 | Array 8
p92_i1_a9,Operation year/age first occurred | Instance 1 | Array 9
p92_i1_a10,Operation year/age first occurred | Instance 1 | Array 10
p92_i1_a11,Operation year/age first occurred | Instance 1 | Array 11
p92_i1_a12,Operation year/age first occurred | Instance 1 | Array 12
p92_i1_a13,Operation year/age first occurred | Instance 1 | Array 13
p92_i1_a14,Operation year/age first occurred | Instance 1 | Array 14
p92_i1_a15,Operation year/age first occurred | Instance 1 | Array 15
p92_i1_a16,Operation year/age first occurred | Instance 1 | Array 16
p92_i1_a17,Operation year/age first occurred | Instance 1 | Array 17
p92_i1_a18,Operation year/age first occurred | Instance 1 | Array 18
p92_i1_a19,Operation year/age first occurred | Instance 1 | Array 19
p92_i1_a20,Operation year/age first occurred | Instance 1 | Array 20
p92_i1_a21,Operation year/age first occurred | Instance 1 | Array 21
p92_i1_a22,Operation year/age first occurred | Instance 1 | Array 22
p92_i1_a23,Operation year/age first occurred | Instance 1 | Array 23
p92_i1_a24,Operation year/age first occurred | Instance 1 | Array 24
p92_i1_a25,Operation year/age first occurred | Instance 1 | Array 25
p92_i1_a26,Operation year/age first occurred | Instance 1 | Array 26
p92_i1_a27,Operation year/age first occurred | Instance 1 | Array 27
p92_i1_a28,Operation year/age first occurred | Instance 1 | Array 28
p92_i1_a29,Operation year/age first occurred | Instance 1 | Array 29
p92_i1_a30,Operation year/age first occurred | Instance 1 | Array 30
p92_i1_a31,Operation year/age first occurred | Instance 1 | Array 31
p92_i2_a0,Operation year/age first occurred | Instance 2 | Array 0
p92_i2_a1,Operation year/age first occurred | Instance 2 | Array 1
p92_i2_a2,Operation year/age first occurred | Instance 2 | Array 2
p92_i2_a3,Operation year/age first occurred | Instance 2 | Array 3
p92_i2_a4,Operation year/age first occurred | Instance 2 | Array 4
p92_i2_a5,Operation year/age first occurred | Instance 2 | Array 5
p92_i2_a6,Operation year/age first occurred | Instance 2 | Array 6
p92_i2_a7,Operation year/age first occurred | Instance 2 | Array 7
p92_i2_a8,Operation year/age first occurred | Instance 2 | Array 8
p92_i2_a9,Operation year/age first occurred | Instance 2 | Array 9
p92_i2_a10,Operation year/age first occurred | Instance 2 | Array 10
p92_i2_a11,Operation year/age first occurred | Instance 2 | Array 11
p92_i2_a12,Operation year/age first occurred | Instance 2 | Array 12
p92_i2_a13,Operation year/age first occurred | Instance 2 | Array 13
p92_i2_a14,Operation year/age first occurred | Instance 2 | Array 14
p92_i2_a15,Operation year/age first occurred | Instance 2 | Array 15
p92_i2_a16,Operation year/age first occurred | Instance 2 | Array 16
p92_i2_a17,Operation year/age first occurred | Instance 2 | Array 17
p92_i2_a18,Operation year/age first occurred | Instance 2 | Array 18
p92_i2_a19,Operation year/age first occurred | Instance 2 | Array 19
p92_i2_a20,Operation year/age first occurred | Instance 2 | Array 20
p92_i2_a21,Operation year/age first occurred | Instance 2 | Array 21
p92_i2_a22,Operation year/age first occurred | Instance 2 | Array 22
p92_i2_a23,Operation year/age first occurred | Instance 2 | Array 23
p92_i2_a24,Operation year/age first occurred | Instance 2 | Array 24
p92_i2_a25,Operation year/age first occurred | Instance 2 | Array 25
p92_i2_a26,Operation year/age first occurred | Instance 2 | Array 26
p92_i2_a27,Operation year/age first occurred | Instance 2 | Array 27
p92_i2_a28,Operation year/age first occurred | Instance 2 | Array 28
p92_i2_a29,Operation year/age first occurred | Instance 2 | Array 29
p92_i2_a30,Operation year/age first occurred | Instance 2 | Array 30
p92_i2_a31,Operation year/age first occurred | Instance 2 | Array 31
p92_i3_a0,Operation year/age first occurred | Instance 3 | Array 0
p92_i3_a1,Operation year/age first occurred | Instance 3 | Array 1
p92_i3_a2,Operation year/age first occurred | Instance 3 | Array 2
p92_i3_a3,Operation year/age first occurred | Instance 3 | Array 3
p92_i3_a4,Operation year/age first occurred | Instance 3 | Array 4
p92_i3_a5,Operation year/age first occurred | Instance 3 | Array 5
p92_i3_a6,Operation year/age first occurred | Instance 3 | Array 6
p92_i3_a7,Operation year/age first occurred | Instance 3 | Array 7
p92_i3_a8,Operation year/age first occurred | Instance 3 | Array 8
p92_i3_a9,Operation year/age first occurred | Instance 3 | Array 9
p92_i3_a10,Operation year/age first occurred | Instance 3 | Array 10
p92_i3_a11,Operation year/age first occurred | Instance 3 | Array 11
p92_i3_a12,Operation year/age first occurred | Instance 3 | Array 12
p92_i3_a13,Operation year/age first occurred | Instance 3 | Array 13
p92_i3_a14,Operation year/age first occurred | Instance 3 | Array 14
p92_i3_a15,Operation year/age first occurred | Instance 3 | Array 15
p92_i3_a16,Operation year/age first occurred | Instance 3 | Array 16
p92_i3_a17,Operation year/age first occurred | Instance 3 | Array 17
p92_i3_a18,Operation year/age first occurred | Instance 3 | Array 18
p92_i3_a19,Operation year/age first occurred | Instance 3 | Array 19
p92_i3_a20,Operation year/age first occurred | Instance 3 | Array 20
p92_i3_a21,Operation year/age first occurred | Instance 3 | Array 21
p92_i3_a22,Operation year/age first occurred | Instance 3 | Array 22
p92_i3_a23,Operation year/age first occurred | Instance 3 | Array 23
p92_i3_a24,Operation year/age first occurred | Instance 3 | Array 24
p92_i3_a25,Operation year/age first occurred | Instance 3 | Array 25
p92_i3_a26,Operation year/age first occurred | Instance 3 | Array 26
p92_i3_a27,Operation year/age first occurred | Instance 3 | Array 27
p92_i3_a28,Operation year/age first occurred | Instance 3 | Array 28
p92_i3_a29,Operation year/age first occurred | Instance 3 | Array 29
p92_i3_a30,Operation year/age first occurred | Instance 3 | Array 30
p92_i3_a31,Operation year/age first occurred | Instance 3 | Array 31
p93_i0_a0,"Systolic blood pressure, manual reading | Instance 0 | Array 0"
p93_i0_a1,"Systolic blood pressure, manual reading | Instance 0 | Array 1"
p93_i1_a0,"Systolic blood pressure, manual reading | Instance 1 | Array 0"
p93_i1_a1,"Systolic blood pressure, manual reading | Instance 1 | Array 1"
p93_i2_a0,"Systolic blood pressure, manual reading | Instance 2 | Array 0"
p93_i2_a1,"Systolic blood pressure, manual reading | Instance 2 | Array 1"
p93_i3_a0,"Systolic blood pressure, manual reading | Instance 3 | Array 0"
p93_i3_a1,"Systolic blood pressure, manual reading | Instance 3 | Array 1"
p94_i0_a0,"Diastolic blood pressure, manual reading | Instance 0 | Array 0"
p94_i0_a1,"Diastolic blood pressure, manual reading | Instance 0 | Array 1"
p94_i1_a0,"Diastolic blood pressure, manual reading | Instance 1 | Array 0"
p94_i1_a1,"Diastolic blood pressure, manual reading | Instance 1 | Array 1"
p94_i2_a0,"Diastolic blood pressure, manual reading | Instance 2 | Array 0"
p94_i2_a1,"Diastolic blood pressure, manual reading | Instance 2 | Array 1"
p94_i3_a0,"Diastolic blood pressure, manual reading | Instance 3 | Array 0"
p94_i3_a1,"Diastolic blood pressure, manual reading | Instance 3 | Array 1"
p95_i0_a0,Pulse rate (during blood-pressure measurement) | Instance 0 | Array 0
p95_i0_a1,Pulse rate (during blood-pressure measurement) | Instance 0 | Array 1
p95_i1_a0,Pulse rate (during blood-pressure measurement) | Instance 1 | Array 0
p95_i1_a1,Pulse rate (during blood-pressure measurement) | Instance 1 | Array 1
p95_i2_a0,Pulse rate (during blood-pressure measurement) | Instance 2 | Array 0
p95_i2_a1,Pulse rate (during blood-pressure measurement) | Instance 2 | Array 1
p95_i3_a0,Pulse rate (during blood-pressure measurement) | Instance 3 | Array 0
p95_i3_a1,Pulse rate (during blood-pressure measurement) | Instance 3 | Array 1
p96_i0_a0,Time since interview start at which blood pressure screen(s) shown | Instance 0 | Array 0
p96_i0_a1,Time since interview start at which blood pressure screen(s) shown | Instance 0 | Array 1
p96_i1_a0,Time since interview start at which blood pressure screen(s) shown | Instance 1 | Array 0
p96_i1_a1,Time since interview start at which blood pressure screen(s) shown | Instance 1 | Array 1
p96_i2_a0,Time since interview start at which blood pressure screen(s) shown | Instance 2 | Array 0
p96_i2_a1,Time since interview start at which blood pressure screen(s) shown | Instance 2 | Array 1
p96_i3_a0,Time since interview start at which blood pressure screen(s) shown | Instance 3 | Array 0
p96_i3_a1,Time since interview start at which blood pressure screen(s) shown | Instance 3 | Array 1
p102_i0_a0,"Pulse rate, automated reading | Instance 0 | Array 0"
p102_i0_a1,"Pulse rate, automated reading | Instance 0 | Array 1"
p102_i1_a0,"Pulse rate, automated reading | Instance 1 | Array 0"
p102_i1_a1,"Pulse rate, automated reading | Instance 1 | Array 1"
p102_i2_a0,"Pulse rate, automated reading | Instance 2 | Array 0"
